TEAM_NAME,FG3M,FG3A,FG3%,GAMES,FG3AperGame,SEASON
Atlanta Hawks,57,175,0.32571428571428573,5,35.0,2021-22
Boston Celtics,328,879,0.3731513083048919,24,36.625,2021-22
Brooklyn Nets,46,109,0.42201834862385323,4,27.25,2021-22
Chicago Bulls,52,184,0.2826086956521739,5,36.8,2021-22
Dallas Mavericks,284,747,0.38018741633199465,18,41.5,2021-22
Denver Nuggets,56,157,0.35668789808917195,5,31.4,2021-22
Golden State Warriors,308,821,0.3751522533495737,22,37.31818181818182,2021-22
Memphis Grizzlies,157,430,0.36511627906976746,12,35.833333333333336,2021-22
Miami Heat,196,626,0.31309904153354634,18,34.77777777777778,2021-22
Milwaukee Bucks,127,388,0.327319587628866,12,32.333333333333336,2021-22
Minnesota Timberwolves,83,214,0.3878504672897196,6,35.666666666666664,2021-22
New Orleans Pelicans,56,158,0.35443037974683544,6,26.333333333333332,2021-22
Philadelphia 76ers,149,400,0.3725,12,33.333333333333336,2021-22
Phoenix Suns,128,353,0.3626062322946176,13,27.153846153846153,2021-22
Toronto Raptors,59,197,0.29949238578680204,6,32.833333333333336,2021-22
Utah Jazz,49,179,0.2737430167597765,6,29.833333333333332,2021-22
Atlanta Hawks,84,224,0.375,6,37.333333333333336,2022-23
Boston Celtics,281,773,0.36351875808538164,20,38.65,2022-23
Brooklyn Nets,45,138,0.32608695652173914,4,34.5,2022-23
Cleveland Cavaliers,50,153,0.32679738562091504,5,30.6,2022-23
Denver Nuggets,225,600,0.375,20,30.0,2022-23
Golden State Warriors,188,553,0.3399638336347197,13,42.53846153846154,2022-23
Los Angeles Clippers,61,169,0.3609467455621302,5,33.8,2022-23
Los Angeles Lakers,162,484,0.3347107438016529,16,30.25,2022-23
Memphis Grizzlies,72,231,0.3116883116883117,6,38.5,2022-23
Miami Heat,294,774,0.3798449612403101,23,33.65217391304348,2022-23
Milwaukee Bucks,78,206,0.3786407766990291,5,41.2,2022-23
Minnesota Timberwolves,56,161,0.34782608695652173,5,32.2,2022-23
New York Knicks,105,360,0.2916666666666667,11,32.72727272727273,2022-23
Philadelphia 76ers,134,373,0.35924932975871315,11,33.90909090909091,2022-23
Phoenix Suns,103,284,0.3626760563380282,11,25.818181818181817,2022-23
Sacramento Kings,85,278,0.3057553956834532,7,39.714285714285715,2022-23
Boston Celtics,275,764,0.3599476439790576,19,40.21052631578947,2023-24
Cleveland Cavaliers,124,394,0.3147208121827411,12,32.833333333333336,2023-24
Dallas Mavericks,262,728,0.3598901098901099,22,33.09090909090909,2023-24
Denver Nuggets,126,379,0.3324538258575198,12,31.583333333333332,2023-24
Indiana Pacers,208,559,0.37209302325581395,17,32.88235294117647,2023-24
Los Angeles Clippers,71,190,0.3736842105263158,6,31.666666666666668,2023-24
Los Angeles Lakers,44,147,0.29931972789115646,5,29.4,2023-24
Miami Heat,56,170,0.32941176470588235,5,34.0,2023-24
Milwaukee Bucks,67,189,0.3544973544973545,6,31.5,2023-24
Minnesota Timberwolves,187,521,0.35892514395393477,16,32.5625,2023-24
New Orleans Pelicans,35,131,0.26717557251908397,4,32.75,2023-24
New York Knicks,155,413,0.37530266343825663,13,31.76923076923077,2023-24
Oklahoma City Thunder,121,340,0.3558823529411765,10,34.0,2023-24
Orlando Magic,72,233,0.3090128755364807,7,33.285714285714285,2023-24
Philadelphia 76ers,81,214,0.37850467289719625,6,35.666666666666664,2023-24
Phoenix Suns,38,104,0.36538461538461536,4,26.0,2023-24
